Date,ProdPV,Consumption,Autoconsumed_power,Injected_power,Extracted_power
19/01 22:00,0,297.18,0,0,297.18
19/01 23:00,0,230.74,0,0,230.74
20/01 00:00,0,188.75,0,0,188.75
20/01 01:00,0,173.36,0,0,173.36
20/01 02:00,0,163.56,0,0,163.56
20/01 03:00,0,165.89,0,0,165.89
20/01 04:00,0,176.99,0,0,176.99
20/01 05:00,0,196.88,0,0,196.88
20/01 06:00,0,253.44,0,0,253.44
20/01 07:00,0,322.77,0,0,322.77
20/01 08:00,82.55,320.32,67.04,0,253.28
20/01 09:00,47.09,299.73,35.45,0,264.28
20/01 10:00,62.35,292.88,39.06,0,253.82
20/01 11:00,74.44,289.94,29.85,0,260.09
20/01 12:00,62.68,305.7,47.2,0,258.5
20/01 13:00,199.18,154.42,45.63,0,108.79
20/01 14:00,232.64,72.71,21.79,0,50.92
20/01 15:00,183.7,106.91,17.07,0,89.84
20/01 16:00,58.96,230.85,0,0,230.85
20/01 17:00,0,340.49,0,0,340.49
20/01 18:00,0,428.54,0,0,428.54
20/01 19:00,0,457,0,0,457
20/01 20:00,0,425.2,0,0,425.2
20/01 21:00,0,361.68,0,0,361.68
20/01 22:00,0,300.05,0,0,300.05
20/01 23:00,0,245.29,0,0,245.29
21/01 00:00,0,207.54,0,0,207.54
21/01 01:00,0,184.47,0,0,184.47
21/01 02:00,0,170.88,0,0,170.88
21/01 03:00,0,168.89,0,0,168.89
21/01 04:00,0,176.91,0,0,176.91
21/01 05:00,0,185.69,0,0,185.69
21/01 06:00,0,208.23,0,0,208.23
21/01 07:00,0,283.48,0,0,283.48
21/01 08:00,73.68,523.54,249.89,0,273.65
21/01 09:00,143.33,480.68,263.47,0,217.21
21/01 10:00,242.16,304.26,183.05,0,121.21
21/01 11:00,609.98,210.46,210.46,220.4,0
21/01 12:00,567.3,43.05,43.05,182.92,0
21/01 13:00,517.14,94.93,94.93,154.76,0
21/01 14:00,468.12,41.55,41.55,137.36,0
21/01 15:00,308.93,13.13,13.13,0.56,0
21/01 16:00,76.93,236.79,0,0,236.79
21/01 17:00,0,361.77,0,0,361.77
21/01 18:00,0,431.81,0,0,431.81
21/01 19:00,0,452.05,0,0,452.05
21/01 20:00,0,422.73,0,0,422.73
21/01 21:00,0,358.1,0,0,358.1
21/01 22:00,0,308.61,0,0,308.61
21/01 23:00,0,255.35,0,0,255.35
22/01 00:00,0,221.35,0,0,221.35
22/01 01:00,0,198.94,0,0,198.94
22/01 02:00,0,180.48,0,0,180.48
22/01 03:00,0,174.4,0,0,174.4
22/01 04:00,0,178.75,0,0,178.75
22/01 05:00,0,183.16,0,0,183.16
22/01 06:00,0,195.08,0,0,195.08
22/01 07:00,0,243.45,0,0,243.45
22/01 08:00,48.53,341.62,67.87,0,273.75
22/01 09:00,330.96,99.22,47.37,0,51.85
22/01 10:00,180.8,344.93,95.25,0,249.68
22/01 11:00,121.43,684.86,348.59,0,336.27
22/01 12:00,132.67,468.91,180.41,0,288.5
22/01 13:00,75.93,638.16,339.57,0,298.59
